Comment,Designator,Footprint,LCSC
SS54,"D2,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14",Library:D_SMA,C22452
LM393,"U6,U7,U8,U9",Library:SOIC-8_3.9x4.9mm_P1.27mm,C7955
ISO7720D,"U10,U12,U13,U14",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C486037
1R8,"R18,R19,R20,R21",Library:R_1206_3216Metric,C15545
UART,J12,Library:PinHeader_1x03_P2.54mm_Vertical,
Green LED,D1,Library:LED_0603_1608Metric,C965804
SERVO,J1,Library:ServoHeader_3x04_2.54mm,
USB,J9,Library:PinHeader_1x04_P2.54mm_Vertical,
10K,"R2,R3,R8,R10,R22,R23,R24,R25,R26,R27,R28,R29",Library:R_0402_1005Metric,C25744
15pF,"C2,C5",Library:C_0402_1005Metric,C1548
SN65HVD230,U4,Library:SOIC-8_3.9x4.9mm_P1.27mm,C12084
Blue LED,D15,Library:LED_0603_1608Metric,C965807
1K,"R1,R7,R15",Library:R_0402_1005Metric,C11702
W25Q32JVSS,U1,Library:SOIC-8_5.3x5.3mm_P1.27mm,C82344
1uF,C12,Library:C_0603_1608Metric,C15849
100nF,"C1,C7,C8,C9,C11,C14,C15,C16,C20,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34",Library:C_0402_1005Metric,C1525
100uF,"C23,C24",Library:CP_Elec_6.3x7.7,C2836437
3.24K,R9,Library:R_0402_1005Metric,C11457
270K,R14,Library:R_0402_1005Metric,C25770
BUTTON,"SW1,SW2",Library:SW_SPST_PTS810,C139797
820R,R16,Library:R_0402_1005Metric,C25924
220uF,"C10,C18,C22",Library:CP_Elec_6.3x7.7,C7471881
GPIO,J14,Library:PinHeader_1x04_P2.54mm_Vertical,
L78L05_SO8,U11,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7543
3.3uH,L1,Library:L_pol_2016,C42411119
4.7uF,"C3,C4",Library:C_0402_1005Metric_small_pads,C23733
27R,"R4,R5",Library:R_0402_1005Metric,C25100
RJ45,"J10,J13",Library:RJ45_Amphenol_54602-x08_Horizontal,C3000197
RP2350A,U2,Library:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,C42411118
BOOSTER,J3,"Library:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
10uF,"C19,C21",Library:C_0805_2012Metric,C15850
4.7uF,"C6,C13",Library:C_0402_1005Metric,C23733
VDC,J8,Library:BarrelJack_Wuerth_694106106102_2.0x5.5mm,C319134
DCC_SIG,J2,Library:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,
ABM8-272-T3,Y1,Library:Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
5A,F1,Library:Fuse_2920_7451Metric,C20539728
TRACK3,J6,"Library:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
220R,"R11,R12,R13,R30",Library:R_0402_1005Metric,C25091
XC6206PxxxMR,U5,Library:SOT-23-3,C5446
33K,R17,Library:R_0402_1005Metric,C25779
TRACK2,J5,"Library:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
PWR_POS,JP1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
10nF,C17,Library:C_0402_1005Metric,C15195
15uH,L2,Library:L_Changjiang_FXL0630,C177243
TRACK4,J7,"Library:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
TPS5430DDA,U3,Library:TI_SO-PowerPAD-8_ThermalVias,C9864
33R,R6,Library:R_0402_1005Metric,C25105
Red LED,D3,Library:LED_0603_1608Metric,C2286
SWD,J11,Library:PinHeader_1x03_P2.54mm_Vertical,
TRACK1,J4,"Library:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
